subframe, timestamp (ms), resource_blocks
2	9422	00000000000000000000000000000011111111110000000000
2	9482	00000000000000000000000000000011111111110000000000
2	9492	00000000000000000000000000000011111111110000000000
2	9502	00000000000000000000000000000011111111110000000000
2	9512	00000000000000000000000000000011111111110000000000
2	9522	00000000000000000000000000000011111111110000000000
2	9542	00000000000000000000000000000011111111110000000000
2	9662	00000000000000000000000000000011111111110000000000
7	14327	00000000000000000000000000000000000000000000000000
7	14367	00000000000000000000000000000000000000000000000000
7	14377	00000000000000000000000000000000000000000000000000
0	15250	11111111110000000000000000000000000000000000000000
0	15260	11111111110000000000000000000000000000000000000000
0	15290	11111111110000000000000000000000000000000000000000
0	15300	11111111110000000000000000000000000000000000000000
0	15370	11111111110000000000000000000000000000000000000000
7	29117	11111111111111111111000000000000000000000000000000
7	29197	11111111111111111111000000000000000000000000000000
7	29387	11111111111111111111000000000000000000000000000000
5	40125	00000000000000000000000000000000000000000000000000
5	40135	00000000000000000000000000000000000000000000000000
5	40145	00000000000000000000000000000000000000000000000000
5	40155	00000000000000000000000000000000000000000000000000
5	40165	00000000000000000000000000000000000000000000000000
5	40175	00000000000000000000000000000000000000000000000000
5	40185	00000000000000000000000000000000000000000000000000
5	40205	00000000000000000000000000000000000000000000000000
6	87806	00000000000000000000000000000000000000000000000000
6	87826	00000000000000000000000000000000000000000000000000
6	87866	00000000000000000000000000000000000000000000000000
6	87876	00000000000000000000000000000000000000000000000000
6	87906	00000000000000000000000000000000000000000000000000
6	87946	00000000000000000000000000000000000000000000000000
6	87956	00000000000000000000000000000000000000000000000000
6	87976	00000000000000000000000000000000000000000000000000
8	99658	11111111111111111111111111111111111111110000000000
8	99668	11111111111111111111111111111111111111110000000000
8	99708	11111111111111111111111111111111111111110000000000
6	102216	00000000000000000000111111111111111111110000000000
6	102236	00000000000000000000111111111111111111110000000000
6	102256	00000000000000000000111111111111111111110000000000
6	102286	00000000000000000000111111111111111111110000000000
5	177505	11111111111111111111111111111111111111110000000000
5	177595	11111111111111111111111111111111111111110000000000
8	213258	00000000000000000000111111111111111111110000000000
1	213721	00000000000000000000000000000000000000000000000000
6	233986	11111111110000000000000000000000000000000000000000
6	234056	11111111110000000000000000000000000000000000000000
6	269336	00000000001111111111111111111111111111110000000000
5	276475	00000000001111111111000000000000000000000000000000
3	282763	00000000000000000000111111111100000000000000000000
8	286688	00000000000000000000000000000000000000000000000000
8	286698	00000000000000000000000000000000000000000000000000
4	313144	00000000000000000000000000000000000000000000000000
4	313154	00000000000000000000000000000000000000000000000000
7	367067	00000000000000000000000000000000000000000000000000
0	379770	00000000000000000000000000000000000000000000000000
0	379780	00000000000000000000000000000000000000000000000000
9	380030	00000000000000000000000000000000000000000000000000
2	409762	11111111111111111111111111111100000000000000000000
2	409812	11111111111111111111111111111100000000000000000000
2	409842	11111111111111111111111111111100000000000000000000
2	409852	11111111111111111111111111111100000000000000000000
2	409892	11111111111111111111111111111100000000000000000000
2	409902	11111111111111111111111111111100000000000000000000
2	409912	11111111111111111111111111111100000000000000000000
2	409932	11111111111111111111111111111100000000000000000000
2	409942	11111111111111111111111111111100000000000000000000
5	410145	00000000001111111111111111111100000000000000000000
2	410162	11111111111111111111111111111100000000000000000000
2	410172	11111111111111111111111111111100000000000000000000
2	410192	11111111111111111111111111111100000000000000000000
2	410252	11111111111111111111111111111100000000000000000000
3	431063	11111111110000000000000000000000000000000000000000
6	436446	11111111111111111111111111111100000000000000000000
6	436456	11111111111111111111111111111100000000000000000000
6	436466	11111111111111111111111111111100000000000000000000
6	436476	11111111111111111111111111111100000000000000000000
6	436506	11111111111111111111111111111100000000000000000000
6	436516	11111111111111111111111111111100000000000000000000
6	436586	11111111111111111111111111111100000000000000000000
6	436596	11111111111111111111111111111100000000000000000000
9	436809	11111111110000000000000000000000000000000000000000
7	440418	11111111111111111111111111111100000000000000000000
8	440488	11111111111111111111111111111100000000000000000000
8	440508	11111111111111111111111111111100000000000000000000
8	440538	11111111111111111111111111111100000000000000000000
8	440558	11111111111111111111111111111100000000000000000000
8	440568	11111111111111111111111111111100000000000000000000
8	440578	11111111111111111111111111111100000000000000000000
8	440588	11111111111111111111111111111100000000000000000000
8	440598	11111111111111111111111111111100000000000000000000
8	440608	11111111111111111111111111111100000000000000000000
8	440618	11111111111111111111111111111100000000000000000000
8	440628	11111111111111111111111111111100000000000000000000
8	440638	11111111111111111111111111111100000000000000000000
8	440648	11111111111111111111111111111100000000000000000000
8	440978	11111111111111111111111111111100000000000000000000
3	482873	00000000000000000000000000000011111111110000000000
3	482923	00000000000000000000000000000011111111110000000000
3	482943	00000000000000000000000000000011111111110000000000
3	482953	00000000000000000000000000000011111111110000000000
3	482973	00000000000000000000000000000011111111110000000000
3	482983	00000000000000000000000000000011111111110000000000
3	482993	00000000000000000000000000000011111111110000000000
3	483003	00000000000000000000000000000011111111110000000000
3	483033	00000000000000000000000000000011111111110000000000
3	483063	00000000000000000000000000000011111111110000000000
3	483083	00000000000000000000000000000011111111110000000000
3	483103	00000000000000000000000000000011111111110000000000
3	483113	00000000000000000000000000000011111111110000000000
8	487778	00000000000000000000000000000000000000000000000000
8	487828	00000000000000000000000000000000000000000000000000
1	488491	11111111110000000000000000000000000000000000000000
1	488511	11111111110000000000000000000000000000000000000000
1	488651	11111111110000000000000000000000000000000000000000
1	488671	11111111110000000000000000000000000000000000000000
1	488741	11111111110000000000000000000000000000000000000000
